id,label,description,url,x,y,cluster,weight<Links>,weight<Total link strength>
1277,na (afx),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>pacific climate forcing of multidecadal springtime minimum temperature variability in the western united states</td></tr><tr><td>Source:</td><td>[no source], 102(3)</td></tr></table>",https://doi.org/10.1080/00045608.2011.627052,1.001,-0.5813,1,10,11
1278,na (afy),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>using historical general land office survey notes to quantify the effects of irrigated agriculture on land cover change in an arid lands watershed</td></tr><tr><td>Source:</td><td>[no source], 102(3)</td></tr></table>",https://doi.org/10.1080/00045608.2011.641479,0.7443,-0.5208,1,8,6
1279,na (afz),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>agents of change: mixed-race households and the dynamics of neighborhood segregation in the united states</td></tr><tr><td>Source:</td><td>[no source], 102(3)</td></tr></table>",https://doi.org/10.1080/00045608.2011.627057,-1.2094,-0.5336,7,75,53
1280,na (aga),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>the uneven geography of racial and ethnic wage inequality: specifying local labor market effects</td></tr><tr><td>Source:</td><td>[no source], 102(3)</td></tr></table>",https://doi.org/10.1080/00045608.2011.600198,-1.1251,-0.6458,7,28,26
1281,na (agb),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>scale-dependent correspondence of floristic and edaphic gradients across salt marsh creeks</td></tr><tr><td>Source:</td><td>[no source], 102(2)</td></tr></table>",https://doi.org/10.1080/00045608.2011.620520,0.6677,-0.5383,1,78,24
1282,na (agc),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>fractality and self-similarity in the structure of road networks</td></tr><tr><td>Source:</td><td>[no source], 102(2)</td></tr></table>",https://doi.org/10.1080/00045608.2011.620505,-0.1442,0.0776,5,104,30
1283,na (agd),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>mapping spaces of environmental dispute: gis, mining, and surveillance in the amazon</td></tr><tr><td>Source:</td><td>[no source], 102(2)</td></tr></table>",https://doi.org/10.1080/00045608.2011.641861,0.3718,-0.0978,10,30,14
1284,na (age),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>drought-busting tropical cyclones in the southeastern atlantic united states: 1950-2008</td></tr><tr><td>Source:</td><td>[no source], 102(2)</td></tr></table>",https://doi.org/10.1080/00045608.2011.596377,0.903,-0.4651,1,10,10
1285,na (agf),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>neoliberalization of housing in sweden: gentrification, filtering, and social polarization</td></tr><tr><td>Source:</td><td>[no source], 102(2)</td></tr></table>",https://doi.org/10.1080/00045608.2011.620508,-0.9436,-0.4471,7,15,13
1286,na (agg),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>ethnic density and maternal and infant health inequalities: bangladeshi immigrant women in new york city in the 1990s</td></tr><tr><td>Source:</td><td>[no source], 102(5)</td></tr></table>",https://doi.org/10.1080/00045608.2012.674901,-1.3099,-0.4478,7,16,11
1287,na (agh),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>enhancing habitat connectivity in fragmented landscapes: spatial modeling of wildlife crossing structures in transportation networks</td></tr><tr><td>Source:</td><td>[no source], 102(1)</td></tr></table>",https://doi.org/10.1080/00045608.2011.600190,0.5539,0.1336,9,68,41
1288,na (agi),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>moving agent pedestrians through space and time</td></tr><tr><td>Source:</td><td>[no source], 102(1)</td></tr></table>",https://doi.org/10.1080/00045608.2011.595658,-0.4868,0.405,8,182,72
1289,na (agj),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>measuring ethnic clustering and exposure with the q statistic: an exploratory analysis of irish, germans, and yankees in 1880 newark</td></tr><tr><td>Source:</td><td>[no source], 102(1)</td></tr></table>",https://doi.org/10.1080/00045608.2011.620502,-1.0891,-0.5469,7,157,34
1290,na (agk),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>foliar nitrogen responses to the environmental gradient matrix of the adirondack park, new york</td></tr><tr><td>Source:</td><td>[no source], 102(1)</td></tr></table>",https://doi.org/10.1080/00045608.2011.595654,1.0202,-0.2364,1,23,8
1292,na (agm),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>the explicit representation of context in agent-based models of complex adaptive spatial systems</td></tr><tr><td>Source:</td><td>[no source], 100(5)</td></tr></table>",https://doi.org/10.1080/00045608.2010.517739,0.1828,0.0087,10,200,48
1293,na (agn),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>adapting to climate change: retrospective analysis of climate technology interaction in the rice-based farming system of nepal</td></tr><tr><td>Source:</td><td>[no source], 100(5)</td></tr></table>",https://doi.org/10.1080/00045608.2010.518035,-0.0364,-0.7593,2,12,8
1294,na (ago),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>joint effects of marine intrusion and climate change on the mexican avifauna</td></tr><tr><td>Source:</td><td>[no source], 100(4)</td></tr></table>",https://doi.org/10.1080/00045608.2010.497351,1.1118,-0.403,1,7,6
1295,na (agp),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>climate change, drought, and jamaican agriculture: local knowledge and the climate record</td></tr><tr><td>Source:</td><td>[no source], 100(4)</td></tr></table>",https://doi.org/10.1080/00045608.2010.497122,-0.0279,-0.832,2,4,3
1296,na (agq),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>climate-streamflow linkages in the north-central rocky mountains: implications for a changing climate</td></tr><tr><td>Source:</td><td>[no source], 100(4)</td></tr></table>",https://doi.org/10.1080/00045608.2010.500246,1.0562,-0.6408,1,7,7
1297,na (agr),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>parameterization of urban characteristics for global climate modeling</td></tr><tr><td>Source:</td><td>[no source], 100(4)</td></tr></table>",https://doi.org/10.1080/00045608.2010.497328,0.6573,-0.416,6,22,12
1298,na (ags),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>making sense of twenty-first-century climate change in the altiplano: observed trends and cmip3 projections</td></tr><tr><td>Source:</td><td>[no source], 100(4)</td></tr></table>",https://doi.org/10.1080/00045608.2010.500193,1.235,-0.6111,1,2,2
1299,na (agt),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>changes in annual land-surface precipitation over the twentieth and early twenty-first century</td></tr><tr><td>Source:</td><td>[no source], 100(4)</td></tr></table>",https://doi.org/10.1080/00045608.2010.500241,1.1955,-0.5609,1,5,6
1300,na (agu),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>climatic shifts in the availability of contested waters: a long-term perspective from the headwaters of the north platte river</td></tr><tr><td>Source:</td><td>[no source], 100(4)</td></tr></table>",https://doi.org/10.1080/00045608.2010.500196,0.9788,-0.5648,1,10,8
1301,na (agv),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>the changing geography of the u.s. water budget: twentieth-century patterns and twenty-first-century projections</td></tr><tr><td>Source:</td><td>[no source], 100(4)</td></tr></table>",https://doi.org/10.1080/00045608.2010.497117,1.0665,-0.5905,1,19,13
1302,na (agw),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>benchmarking the war against global warming</td></tr><tr><td>Source:</td><td>[no source], 100(4)</td></tr></table>",https://doi.org/10.1080/00045608.2010.500195,0.9071,-0.3266,6,2,2
1303,na (agx),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>climate change and mountain topographic evolution in the central karakoram, pakistan</td></tr><tr><td>Source:</td><td>[no source], 100(4)</td></tr></table>",https://doi.org/10.1080/00045608.2010.500521,1.7811,-0.0115,1,1,1
1304,na (agy),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>potential impacts of climate change on flood-induced travel disruptions: a case study of portland, oregon, usa</td></tr><tr><td>Source:</td><td>[no source], 100(4)</td></tr></table>",https://doi.org/10.1080/00045608.2010.497110,0.8191,-0.4206,1,11,9
1305,na (agz),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>a cybergis framework for the synthesis of cyberinfrastructure, gis, and spatial analysis</td></tr><tr><td>Source:</td><td>[no source], 100(3)</td></tr></table>",https://doi.org/10.1080/00045601003791243,0.2768,0.0453,10,300,50
1306,na (aha),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>prevailing myths about agricultural abandonment and forest regrowth in the united states</td></tr><tr><td>Source:</td><td>[no source], 100(3)</td></tr></table>",https://doi.org/10.1080/00045601003788876,0.7515,-0.5045,1,19,7
1307,na (ahb),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>neighborhoods and fertility in accra, ghana: an amoeba-based approach</td></tr><tr><td>Source:</td><td>[no source], 100(3)</td></tr></table>",https://doi.org/10.1080/00045601003791391,-0.8236,-0.3763,7,61,23
1308,na (ahc),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>robust geographically weighted regression: a technique for quantifying spatial relationships between freshwater acidification critical loads and catchment attributes</td></tr><tr><td>Source:</td><td>[no source], 100(2)</td></tr></table>",https://doi.org/10.1080/00045600903550378,-0.1724,-0.5831,2,66,15
1309,na (ahd),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>the influence of selective migration patterns among smokers and nonsmokers on geographical inequalities in health</td></tr><tr><td>Source:</td><td>[no source], 100(2)</td></tr></table>",https://doi.org/10.1080/00045601003595537,-1.2885,-0.4461,7,4,4
1310,na (ahe),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>local indicators of network-constrained clusters in spatial patterns represented by a link attribute</td></tr><tr><td>Source:</td><td>[no source], 100(2)</td></tr></table>",https://doi.org/10.1080/00045600903550337,-0.2789,-0.1561,2,186,43
1311,na (ahf),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>scaling up political ecology: the case of illegal pesticides on fresh vegetables imported into the united states, 1996-2006</td></tr><tr><td>Source:</td><td>[no source], 100(2)</td></tr></table>",https://doi.org/10.1080/00045601003595388,-0.6845,-0.5574,7,9,7
1312,na (ahg),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>water planning under climatic uncertainty in phoenix: why we need a new paradigm</td></tr><tr><td>Source:</td><td>[no source], 100(2)</td></tr></table>",https://doi.org/10.1080/00045601003595420,1.0007,-0.5552,1,14,7
1313,na (ahh),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>spatializing social networks: using social network analysis to investigate geographies of gang rivalry, territoriality, and violence in los angeles</td></tr><tr><td>Source:</td><td>[no source], 100(2)</td></tr></table>",https://doi.org/10.1080/00045600903550428,-0.8378,-0.135,7,83,19
1314,na (ahi),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>social-ecological impacts of concurrent reservoir inundation and reforestation in the three gorges region of china</td></tr><tr><td>Source:</td><td>[no source], 100(2)</td></tr></table>",https://doi.org/10.1080/00045600903550295,0.2531,-0.8111,1,15,6
1315,na (ahj),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>access regimes and regional land change in the brazilian cerrado, 1972-2002</td></tr><tr><td>Source:</td><td>[no source], 100(1)</td></tr></table>",https://doi.org/10.1080/00045600903378960,0.3067,-0.7918,2,35,21
1316,na (ahk),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>how does geography matter in the ethnic labor market segmentation process? a case study of chinese immigrants in the san francisco cmsa</td></tr><tr><td>Source:</td><td>[no source], 100(1)</td></tr></table>",https://doi.org/10.1080/00045600903379083,-1.236,-0.432,7,50,30
1317,na (ahl),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>the context and impact of hiv and aids in chiang rai, thailand: a study of youth and young adults</td></tr><tr><td>Source:</td><td>[no source], 100(1)</td></tr></table>",https://doi.org/10.1080/00045600903364176,-0.2803,-0.1442,4,68,11
1318,na (ahm),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>a top-down approach to the state factor paradigm for use in macroscale soil analysis</td></tr><tr><td>Source:</td><td>[no source], 100(1)</td></tr></table>",https://doi.org/10.1080/00045600903362279,0.7374,-0.3212,1,56,6
1319,na (ahn),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>impacts of trade on wage inequality in los angeles: analysis using matched employer-employee data</td></tr><tr><td>Source:</td><td>[no source], 98(4)</td></tr></table>",https://doi.org/10.1080/00045600802219786,-0.8845,-0.7475,7,8,16
1320,na (aho),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>the geographical spread of avian influenza a (h5n1): panzootic transmission (december 2003-may 2006), pandemic potential, and implications</td></tr><tr><td>Source:</td><td>[no source], 98(3)</td></tr></table>",https://doi.org/10.1080/00045600802098958,-0.2151,0.1171,4,35,5
1321,na (ahp),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>historical patterns and drivers of landscape change in colombia since 1500: a regionalized spatial approach</td></tr><tr><td>Source:</td><td>[no source], 98(1)</td></tr></table>",https://doi.org/10.1080/00045600701733911,0.678,-0.7921,6,43,14
1322,na (ahq),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>the potential utility of physically based hydrologic modeling in ungauged urban streams</td></tr><tr><td>Source:</td><td>[no source], 98(4)</td></tr></table>",https://doi.org/10.1080/00045600802099055,0.7954,-0.3196,1,21,11
1323,na (ahr),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>different places, different stories: infant mortality decline in england and wales, 1851-1911</td></tr><tr><td>Source:</td><td>[no source], 98(4)</td></tr></table>",https://doi.org/10.1080/00045600802224406,-0.1537,-0.2486,7,67,19
1324,na (ahs),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>reconstructing historic ecotones using the public land survey: the lost prairies of redwood national park</td></tr><tr><td>Source:</td><td>[no source], 98(1)</td></tr></table>",https://doi.org/10.1080/00045600701734018,0.9669,-0.5299,1,6,5
1325,na (aht),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>even in canada? the multiscalar construction and experience of concentrated immigrant poverty in gateway cities</td></tr><tr><td>Source:</td><td>[no source], 98(3)</td></tr></table>",https://doi.org/10.1080/00045600802104509,-1.2014,-0.406,7,36,16
1327,na (ahv),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>survival analysis in land change science: integrating with gsiscience to address temporal complexities</td></tr><tr><td>Source:</td><td>[no source], 98(2)</td></tr></table>",https://doi.org/10.1080/00045600701879045,0.1643,-0.435,6,60,25
1328,na (ahw),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>wi-fi geographies</td></tr><tr><td>Source:</td><td>[no source], 98(1)</td></tr></table>",https://doi.org/10.1080/00045600701734133,-0.4266,0.1311,7,154,30
1329,na (ahx),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>channel adjustments to dams in the connecticut river basin: implications for forested mesic watersheds</td></tr><tr><td>Source:</td><td>[no source], 98(2)</td></tr></table>",https://doi.org/10.1080/00045600801944160,0.7236,-0.5838,1,7,5
1330,na (ahy),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>changing rural landscapes in albania: cropland abandonment and forest clearing in the postsocialist transition</td></tr><tr><td>Source:</td><td>[no source], 98(4)</td></tr></table>",https://doi.org/10.1080/00045600802262323,0.2626,-0.6654,6,105,22
1331,na (ahz),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>density and creativity in u.s. regions</td></tr><tr><td>Source:</td><td>[no source], 98(2)</td></tr></table>",https://doi.org/10.1080/00045600701851150,-0.8094,-0.5134,2,52,29
1332,na (aia),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>a scale-space clustering method: mitigating the effect of scale in the analysis of zone-based dat</td></tr><tr><td>Source:</td><td>[no source], 98(1)</td></tr></table>",https://doi.org/10.1080/00045600701734224,-0.3139,0.0359,2,153,21
1333,na (aib),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>patterns of knowledge: the geography of advanced services and the case of art and culture</td></tr><tr><td>Source:</td><td>[no source], 98(2)</td></tr></table>",https://doi.org/10.1080/00045600701879458,-0.8208,-0.4277,2,66,42
1334,na (aic),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>market-led pluralism: rethinking our understanding of racial/ethnic spatial patterning in u.s. cities</td></tr><tr><td>Source:</td><td>[no source], 98(1)</td></tr></table>",https://doi.org/10.1080/00045600701734612,-1.1308,-0.5311,7,64,39
1336,na (aie),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>bayesian maximum entropy mapping and the soft data problem in urban climate research</td></tr><tr><td>Source:</td><td>[no source], 98(2)</td></tr></table>",https://doi.org/10.1080/00045600701851184,0.5195,-0.438,6,12,7
1337,na (aif),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>are wildfire mitigation and restoration of historic forest structure compatible? a spatial modeling assessment</td></tr><tr><td>Source:</td><td>[no source], 96(3)</td></tr></table>",https://doi.org/10.1111/j.1467-8306.2006.00700.x,0.8802,-0.4772,1,17,12
1338,na (aig),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>biomechanical effects of trees on soil and regolith: beyond treethrow</td></tr><tr><td>Source:</td><td>[no source], 96(2)</td></tr></table>",https://doi.org/10.1111/j.1467-8306.2006.00476.x,1.1422,-0.3061,1,3,2
1339,na (aih),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>reconciling agency and structure in empirical analysis: smallholder land use in the southern yucatã¡n, mexico</td></tr><tr><td>Source:</td><td>[no source], 96(2)</td></tr></table>",https://doi.org/10.1111/j.1467-8306.2006.00479.x,-0.0101,-0.7433,2,26,30
1340,na (aii),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>a spatial-temporal model for assessing the effects of intervillage connectivity in schistosomiasis transmission</td></tr><tr><td>Source:</td><td>[no source], 96(1)</td></tr></table>",https://doi.org/10.1111/j.1467-8306.2006.00497.x,-0.3233,-0.2388,7,5,3
1341,na (aij),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>the role of attribute selection in gis representations of the biophysical environment</td></tr><tr><td>Source:</td><td>[no source], 96(1)</td></tr></table>",https://doi.org/10.1111/j.1467-8306.2006.00498.x,0.9065,-0.0404,1,131,47.8571
1342,na (aik),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>exploring the geographic consequences of public policies using evolutionary algorithms</td></tr><tr><td>Source:</td><td>[no source], 94(4)</td></tr></table>",https://doi.org/10.1111/j.1467-8306.2004.00437.x,0.431,-0.2736,9,95,25
1343,na (ail),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>putting space and time in ricardian climate change impact studies: agriculture in the u.s. great plains, 1969-1992</td></tr><tr><td>Source:</td><td>[no source], 94(3)</td></tr></table>",https://doi.org/10.1111/j.1467-8306.2004.00413.x,-0.2149,-0.6101,2,63,9
1344,na (aim),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>the geography of job creation and destruction in the u.s. manufacturing sector, 1967-1997</td></tr><tr><td>Source:</td><td>[no source], 94(3)</td></tr></table>",https://doi.org/10.1111/j.1467-8306.2004.00416.x,-0.6543,-0.8072,7,15,13
1345,na (ain),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>spatial dependence and heterogeneity in patterns of hardship: an intra-urban analysis</td></tr><tr><td>Source:</td><td>[no source], 94(3)</td></tr></table>",https://doi.org/10.1111/j.1467-8306.2004.00411.x,-0.1989,-0.434,2,121,26
1346,na (aio),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>work together, live apart? geographies of racial and ethnic segregation at home and at work</td></tr><tr><td>Source:</td><td>[no source], 94(3)</td></tr></table>",https://doi.org/10.1111/j.1467-8306.2004.00417.x,-1.0479,-0.471,7,90,39
1347,na (aip),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>spatial patterns of glacial erosion at a valley scale derived from terrestrial cosmogenic 10be and 26al concentrations in rock</td></tr><tr><td>Source:</td><td>[no source], 94(2)</td></tr></table>",https://doi.org/10.1111/j.1467-8306.2004.09402001.x,1.856,-0.5508,1,3,4
1348,na (aiq),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>environmental discourses and the ivorian savanna</td></tr><tr><td>Source:</td><td>[no source], 90(1)</td></tr></table>",https://doi.org/10.1111/0004-5608.00184,0.6434,-1.0221,2,4,5
1349,na (air),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>revealing the vulnerability of people and places: a case study of georgetown county, south carolina</td></tr><tr><td>Source:</td><td>[no source], 90(4)</td></tr></table>",https://doi.org/10.1111/0004-5608.00219,0.0547,-0.5878,2,31,15
1350,na (ais),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>restructuring and spatial change of china's auto industry under institutional reform and globalization</td></tr><tr><td>Source:</td><td>[no source], 90(4)</td></tr></table>",https://doi.org/10.1111/0004-5608.00216,-1.2335,-0.31,7,2,1
1351,na (ait),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>""people who talk together vote together"": an exploration of contextual effects in great britain</td></tr><tr><td>Source:</td><td>[no source], 90(1)</td></tr></table>",https://doi.org/10.1111/0004-5608.00183,-0.7943,-0.2182,7,6,3
1352,na (aiu),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>land-cover-change trajectories in southern cameroon</td></tr><tr><td>Source:</td><td>[no source], 90(3)</td></tr></table>",https://doi.org/10.1111/0004-5608.00205,0.2323,-0.5571,1,47,22
1353,na (aiv),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>postglacial landscape evolution of northeastern lower michigan, interpreted from soils and sediments</td></tr><tr><td>Source:</td><td>[no source], 90(3)</td></tr></table>",https://doi.org/10.1111/0004-5608.00204,1.384,-0.3165,1,2,3
1354,na (aiw),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>assessing multiscale visual appearance characteristics of neighbourhoods using geographically weighted principal component analysis in shenzhen, china</td></tr><tr><td>Source:</td><td>[no source], 84(na)</td></tr></table>",https://doi.org/10.1016/j.compenvurbsys.2020.101547,-0.6552,0.0252,7,144,32.5
1355,na (aix),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>integrating spatial nonstationarity into sleuth for urban growth modeling: a case study in the wuhan metropolitan area</td></tr><tr><td>Source:</td><td>[no source], 84(na)</td></tr></table>",https://doi.org/10.1016/j.compenvurbsys.2020.101545,0.4181,-0.9752,6,197,47
1356,na (aiy),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>impacts of urban development on urban water management â€“ limits of predictability</td></tr><tr><td>Source:</td><td>[no source], 84(na)</td></tr></table>",https://doi.org/10.1016/j.compenvurbsys.2020.101546,0.5031,-0.885,6,28,5
1357,na (aiz),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>modeling urban growth sustainability in the cloud by augmenting google earth engine (gee)</td></tr><tr><td>Source:</td><td>[no source], 84(na)</td></tr></table>",https://doi.org/10.1016/j.compenvurbsys.2020.101542,0.3854,-1.4362,6,1,1
1358,na (aja),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>decentralized markets and the emergence of housing wealth inequality</td></tr><tr><td>Source:</td><td>[no source], 84(na)</td></tr></table>",https://doi.org/10.1016/j.compenvurbsys.2020.101541,-0.7233,-0.6227,7,7,4
1359,na (ajb),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>an enhanced model for evacuation vulnerability assessment in urban areas</td></tr><tr><td>Source:</td><td>[no source], 84(na)</td></tr></table>",https://doi.org/10.1016/j.compenvurbsys.2020.101540,-0.0084,0.409,9,34,17
1360,na (ajc),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>urban ambient air temperature estimation using hyperlocal data from smart vehicle-borne sensors</td></tr><tr><td>Source:</td><td>[no source], 84(na)</td></tr></table>",https://doi.org/10.1016/j.compenvurbsys.2020.101538,0.491,-0.2288,6,29,12
1361,na (ajd),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>sensing urban poverty: from the perspective of human perception-based greenery and open-space landscapes</td></tr><tr><td>Source:</td><td>[no source], 84(na)</td></tr></table>",https://doi.org/10.1016/j.compenvurbsys.2020.101544,-0.2332,0.0942,2,56,19
1362,na (aje),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>population mobility modelling for mobility data simulation</td></tr><tr><td>Source:</td><td>[no source], 84(na)</td></tr></table>",https://doi.org/10.1016/j.compenvurbsys.2020.101526,-0.7428,0.7126,4,74,19
1363,na (ajf),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>streets of london: using flickr and openstreetmap to build an interactive image of the city</td></tr><tr><td>Source:</td><td>[no source], 84(na)</td></tr></table>",https://doi.org/10.1016/j.compenvurbsys.2020.101524,-0.5873,0.3578,3,63,32
1364,na (ajg),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>temporal dynamics of the impact of land use on modal disparity in commuting efficiency</td></tr><tr><td>Source:</td><td>[no source], 83(na)</td></tr></table>",https://doi.org/10.1016/j.compenvurbsys.2020.101523,-1.3247,-0.0329,8,23,23
1365,na (ajh),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>calibrating sleuth with big data: projecting california's land use to 2100</td></tr><tr><td>Source:</td><td>[no source], 83(na)</td></tr></table>",https://doi.org/10.1016/j.compenvurbsys.2020.101525,0.5331,-0.8838,6,70,15
1366,na (aji),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>quality of location-based crowdsourced speed data on surface streets: a case study of waze and bluetooth speed data in sevierville, tn</td></tr><tr><td>Source:</td><td>[no source], 83(na)</td></tr></table>",https://doi.org/10.1016/j.compenvurbsys.2020.101518,-0.6228,0.5591,4,3,3
1367,na (ajj),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>using graph structural information about flows to enhance short-term demand prediction in bike-sharing systems</td></tr><tr><td>Source:</td><td>[no source], 83(na)</td></tr></table>",https://doi.org/10.1016/j.compenvurbsys.2020.101521,-0.7146,0.7,4,109,19
1368,na (ajk),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>domain-specific sentiment analysis for tweets during hurricanes (dssa-h): a domain-adversarial neural-network-based approach</td></tr><tr><td>Source:</td><td>[no source], 83(na)</td></tr></table>",https://doi.org/10.1016/j.compenvurbsys.2020.101522,-0.2622,0.6064,3,44,14
1369,na (ajl),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>impact of extreme weather events on urban human flow: a perspective from location-based service data</td></tr><tr><td>Source:</td><td>[no source], 83(na)</td></tr></table>",https://doi.org/10.1016/j.compenvurbsys.2020.101520,-0.4486,0.268,4,201,16
1370,na (ajm),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>biflowlisa: measuring spatial association for bivariate flow data</td></tr><tr><td>Source:</td><td>[no source], 83(na)</td></tr></table>",https://doi.org/10.1016/j.compenvurbsys.2020.101519,-0.3709,-0.1266,2,143,22
